"time_ms","x","y","z","qw","qx","qy","qz","abdomen_z","abdomen_y","abdomen_x","hip_x_right","hip_z_right","hip_y_right","knee_right","ankle_y_right","ankle_x_right","hip_x_left","hip_z_left","hip_y_left","knee_left","ankle_y_left","ankle_x_left","shoulder1_right","shoulder2_right","elbow_right","shoulder1_left","shoulder2_left","elbow_left"
5508.333,0.144692673,0.918769653,0.098340942,-0.977598,0.003359,-0.210206,0.010269,-0.0301084107510126,0.39701647046932,-0.0336241295990615,0.106049449307541,0.0115776722007401,0.380575940168891,0.266729175344261,-0.0549961802394016,0.0640634377780995,-0.127245147098558,-0.0393983629032575,0.374284853809923,0.220570934924052,0.0307665735779904,0.0258748519606489,-0.0794615970388469,-0.143583833289033,0.81196001613056,-0.145948372748057,0.0823489376216499,-1.54438676412424
5516.667,0.144739197,0.918774658,0.098362816,-0.977666,0.00338,-0.209887,0.010275,-0.0301453414242006,0.396298724426606,-0.0337162632485824,0.105935152896176,0.0114344467187289,0.379995716734085,0.266664205165083,-0.0550768045467429,0.0640548037791105,-0.127129353299847,-0.0394488689924296,0.374060330754098,0.22063308427807,0.0307492334663423,0.0258356185784901,-0.0796665414513341,-0.144125479240695,0.811592015952868,-0.146779640186953,0.0838534303787145,-1.54317735314337
5525,0.144797424,0.918774475,0.098392609,-0.977745,0.003407,-0.209515,0.010288,-0.0301737315600457,0.395478372428923,-0.0338475836295997,0.105798791724571,0.0112567098950273,0.3793433238452,0.266620077452328,-0.0551442731436763,0.0641281508402949,-0.12697236019833,-0.0394945628454948,0.373789306907648,0.22071035806366,0.030781952929964,0.0258283647195802,-0.0798223709969119,-0.144915458822079,0.810837347356191,-0.147716088845944,0.0858680936907178,-1.54117004104677
5533.333,0.144840073,0.918777893,0.098436455,-0.977819,0.003426,-0.20917,0.010313,-0.030308977247288,0.394790839381444,-0.0338782941838249,0.105686811103766,0.0111075516031713,0.378716113760604,0.266598202453776,-0.0551454006335638,0.0642262186570923,-0.126802476345243,-0.0395342760326928,0.373404562513898,0.220788724405097,0.0307045408899383,0.0258373760991165,-0.0797048612346635,-0.14685537683757,0.808923603847719,-0.148810621693956,0.0874547809315889,-1.53973420920916
5541.667,0.144858109,0.918784241,0.098473915,-0.977921,0.003527,-0.208692,0.010321,-0.0303841224500077,0.394117278413863,-0.0341378440116359,0.105353757610395,0.0108620917739529,0.377501815189262,0.26666541377024,-0.055054620395486,0.0643335998591038,-0.126519842993366,-0.0395641484167688,0.37267447312276,0.220778001606227,0.0308215147135408,0.0257828130094746,-0.0795256199682844,-0.149836856227895,0.806362874220262,-0.150873513149849,0.0905768261541737,-1.53818502983501
5550,0.144880783,0.918785889,0.098510704,-0.978003,0.003606,-0.208302,0.010321,-0.0304007673116029,0.393473691723383,-0.0343678470062283,0.105132929763044,0.0106939347878492,0.376636744957223,0.266676446832129,-0.0550961606735999,0.0643752931031596,-0.126308639183039,-0.0396025344400271,0.372019310070697,0.22080284096075,0.0308178452549562,0.0256629130542247,-0.0796632539869103,-0.15216271382095,0.804696415701133,-0.152693249647605,0.0939429375369153,-1.53605938815425
5558.333,0.144912598,0.918790039,0.098534218,-0.978077,0.003632,-0.207955,0.010344,-0.0304752058915593,0.392732489297204,-0.0345198068326486,0.105041698978079,0.0105708143498378,0.376071890640944,0.266604478431994,-0.0552810433625708,0.0643879324132063,-0.126175772414292,-0.03963755911096,0.371608080718756,0.220876039170978,0.030758019955082,0.0256383790511334,-0.0797969417289957,-0.153318587077643,0.803604092710475,-0.15386690978188,0.0952850210101476,-1.53487347950573
5566.667,0.144936493,0.918792175,0.098556412,-0.978162,0.003678,-0.207554,0.010357,-0.0304667795800506,0.391815827954379,-0.0347967521184155,0.104900252097904,0.010446636087108,0.375435186864607,0.266522246879037,-0.055398173398613,0.0644336112133484,-0.126029160714777,-0.0396667923179555,0.371117932659284,0.220937257321266,0.0306879342066541,0.0255860141443517,-0.080262484025813,-0.153455772329175,0.803766204931578,-0.155193670315934,0.0972532443002131,-1.53304318359865
5575,0.144953278,0.918796326,0.098581619,-0.978245,0.003717,-0.20716,0.010383,-0.0305656053269577,0.390930904584056,-0.035005780709856,0.104775402976956,0.0103141014053291,0.374772972642261,0.26646243853838,-0.0554439453046898,0.0645025937299581,-0.125860402013242,-0.0396964154169769,0.370634091306148,0.220958323241324,0.0306955189127023,0.0254978644099631,-0.0804081317651304,-0.154491873256795,0.80164098923502,-0.156374797573592,0.0993654657259764,-1.53094378838028
5583.333,0.144964905,0.918797729,0.098604523,-0.978328,0.003765,-0.206765,0.01041,-0.0306739516468884,0.390080265449686,-0.0352294489507688,0.10463051108837,0.0101898300971308,0.374028328720967,0.266385380821619,-0.0555896937540408,0.0645433826435467,-0.12568791126501,-0.0397170285451141,0.370085589028376,0.220994752721559,0.0306949876864616,0.0254117960615989,-0.0807469072959731,-0.155341809887388,0.799841171836265,-0.157676950899878,0.101560308087242,-1.52871484961059
